n,Avg Change,Stdev Change
3,-0.0148,1.09
4,0.0124,1.19
5,-0.0036,1.29
6,-0.0078,1.36
7,-0.0259,1.41
8,-0.0391,1.48
9,-0.0328,1.62
10,0.0426,1.61
12,0.0124,1.78
16,-0.0706,1.81
20,-0.0547,1.89

