id,is_changed,max_worse,util,num_worse,num_better,num_unchanged,rank_better,rank_worse,rank_unchanged,rank_better_match_better,rank_better_match_unchanged,rank_better_match_worse,rank_unchanged_match_better,rank_unchanged_match_unchanged,rank_unchanged_match_worse,rank_worse_match_better,rank_worse_match_unchanged,rank_worse_match_worse
0,True,-3,18,1,7,12,9,9,2,3,6,0,0,2,0,4,4,1
1,True,-4,-4,4,2,14,7,10,3,0,6,1,1,2,0,1,6,3
2,True,-12,-24,8,2,10,11,8,1,1,7,3,0,0,1,1,3,4
3,True,-2,5,1,4,15,13,7,0,4,9,0,0,0,0,0,6,1
4,False,0,0,0,0,20,9,11,0,0,9,0,0,0,0,0,11,0
5,False,0,0,0,0,20,9,8,3,0,9,0,0,3,0,0,8,0
6,True,-4,-7,5,1,14,10,9,1,1,8,1,0,1,0,0,5,4
7,False,0,0,0,0,20,11,7,2,0,11,0,0,2,0,0,7,0
8,True,-5,-7,3,1,16,11,8,1,1,8,2,0,1,0,0,7,1
9,False,0,0,0,0,20,10,9,1,0,10,0,0,1,0,0,9,0
10,False,0,0,0,0,20,9,10,1,0,9,0,0,1,0,0,10,0
11,True,-1,4,1,3,16,10,9,1,2,8,0,0,1,0,1,7,1
12,True,-2,1,2,2,16,10,8,2,1,8,1,1,1,0,0,7,1
13,False,0,0,0,0,20,9,9,2,0,9,0,0,2,0,0,9,0
14,True,-8,-25,8,0,12,9,11,0,0,7,2,0,0,0,0,5,6
15,False,0,0,0,0,20,10,10,0,0,10,0,0,0,0,0,10,0
16,False,0,0,0,0,20,11,7,2,0,11,0,0,2,0,0,7,0
17,True,-7,-2,2,2,16,10,9,1,2,8,0,0,1,0,0,7,2
18,False,0,0,0,0,20,10,7,3,0,10,0,0,3,0,0,7,0
19,True,-5,-6,3,1,16,8,12,0,1,6,1,0,0,0,0,10,2
20,False,0,0,0,0,20,11,9,0,0,11,0,0,0,0,0,9,0
21,True,-2,6,1,4,15,10,10,0,2,7,1,0,0,0,2,8,0
22,True,-10,-16,4,0,16,9,11,0,0,8,1,0,0,0,0,8,3
23,True,-4,-9,6,2,12,9,10,1,1,5,3,0,0,1,1,7,2
24,False,0,0,0,0,20,7,12,1,0,7,0,0,1,0,0,12,0
25,True,-4,-2,2,1,17,11,9,0,1,8,2,0,0,0,0,9,0
26,True,-5,-9,6,2,12,12,8,0,2,7,3,0,0,0,0,5,3
27,True,-5,-14,6,2,12,8,12,0,1,5,2,0,0,0,1,7,4
28,True,-2,22,2,5,13,10,10,0,2,7,1,0,0,0,3,6,1
29,False,0,0,0,0,20,8,12,0,0,8,0,0,0,0,0,12,0
30,False,0,0,0,0,20,9,10,1,0,9,0,0,1,0,0,10,0
31,False,0,0,0,0,20,9,10,1,0,9,0,0,1,0,0,10,0
32,False,0,0,0,0,20,9,8,3,0,9,0,0,3,0,0,8,0
33,False,0,0,0,0,20,10,8,2,0,10,0,0,2,0,0,8,0
34,False,0,0,0,0,20,10,9,1,0,10,0,0,1,0,0,9,0
35,True,-3,-6,3,1,16,12,8,0,1,10,1,0,0,0,0,6,2
36,False,0,0,0,0,20,10,9,1,0,10,0,0,1,0,0,9,0
37,True,-8,-8,3,1,16,8,12,0,1,6,1,0,0,0,0,10,2
38,True,0,4,0,2,18,13,7,0,2,11,0,0,0,0,0,7,0
39,True,-2,0,3,1,16,9,10,1,1,6,2,0,1,0,0,9,1
