id,is_changed,max_worse,util,num_worse,num_better,num_unchanged,rank_better,rank_worse,rank_unchanged,rank_better_match_better,rank_better_match_unchanged,rank_better_match_worse,rank_unchanged_match_better,rank_unchanged_match_unchanged,rank_unchanged_match_worse,rank_worse_match_better,rank_worse_match_unchanged,rank_worse_match_worse
0,True,-8,-7,1,1,7,5,4,0,1,4,0,0,0,0,0,3,1
1,False,0,0,0,0,9,5,3,1,0,5,0,0,1,0,0,3,0
2,False,0,0,0,0,9,5,3,1,0,5,0,0,1,0,0,3,0
3,True,-5,0,1,2,6,5,3,1,1,4,0,0,1,0,1,1,1
4,True,-1,0,1,1,7,4,5,0,1,3,0,0,0,0,0,4,1
5,True,-3,-3,3,1,5,2,7,0,0,1,1,0,0,0,1,4,2
6,False,0,0,0,0,9,4,5,0,0,4,0,0,0,0,0,5,0
7,True,-2,-1,2,2,5,4,4,1,2,2,0,0,0,1,0,3,1
8,False,0,0,0,0,9,4,4,1,0,4,0,0,1,0,0,4,0
9,False,0,0,0,0,9,3,5,1,0,3,0,0,1,0,0,5,0
10,False,0,0,0,0,9,4,4,1,0,4,0,0,1,0,0,4,0
11,False,0,0,0,0,9,4,4,1,0,4,0,0,1,0,0,4,0
12,False,0,0,0,0,9,3,5,1,0,3,0,0,1,0,0,5,0
13,False,0,0,0,0,9,5,4,0,0,5,0,0,0,0,0,4,0
14,False,0,0,0,0,9,3,4,2,0,3,0,0,2,0,0,4,0
15,False,0,0,0,0,9,5,4,0,0,5,0,0,0,0,0,4,0
16,False,0,0,0,0,9,5,3,1,0,5,0,0,1,0,0,3,0
17,False,0,0,0,0,9,5,3,1,0,5,0,0,1,0,0,3,0
18,False,0,0,0,0,9,4,3,2,0,4,0,0,2,0,0,3,0
19,True,-3,-1,2,1,6,3,6,0,1,2,0,0,0,0,0,4,2
20,True,-2,-1,2,1,6,4,5,0,1,3,0,0,0,0,0,3,2
21,True,-3,4,1,1,7,4,4,1,1,3,0,0,1,0,0,3,1
22,False,0,0,0,0,9,5,3,1,0,5,0,0,1,0,0,3,0
23,True,-5,-8,3,0,6,2,6,1,0,1,1,0,1,0,0,4,2
24,True,-2,-1,2,1,6,5,4,0,1,3,1,0,0,0,0,3,1
25,False,0,0,0,0,9,3,3,3,0,3,0,0,3,0,0,3,0
26,True,-1,7,1,3,5,2,4,3,0,2,0,2,1,0,1,2,1
27,False,0,0,0,0,9,4,4,1,0,4,0,0,1,0,0,4,0
28,False,0,0,0,0,9,3,4,2,0,3,0,0,2,0,0,4,0
29,False,0,0,0,0,9,5,3,1,0,5,0,0,1,0,0,3,0
30,False,0,0,0,0,9,4,3,2,0,4,0,0,2,0,0,3,0
31,False,0,0,0,0,9,3,4,2,0,3,0,0,2,0,0,4,0
32,False,0,0,0,0,9,3,4,2,0,3,0,0,2,0,0,4,0
33,True,-4,-2,1,1,7,4,4,1,1,3,0,0,1,0,0,3,1
34,False,0,0,0,0,9,4,5,0,0,4,0,0,0,0,0,5,0
35,False,0,0,0,0,9,5,4,0,0,5,0,0,0,0,0,4,0
