id,is_changed,max_worse,util,num_worse,num_better,num_unchanged,rank_better,rank_worse,rank_unchanged,rank_better_match_better,rank_better_match_unchanged,rank_better_match_worse,rank_unchanged_match_better,rank_unchanged_match_unchanged,rank_unchanged_match_worse,rank_worse_match_better,rank_worse_match_unchanged,rank_worse_match_worse
0,False,0,0,0,0,4,2,2,0,0,2,0,0,0,0,0,2,0
1,False,0,0,0,0,4,2,2,0,0,2,0,0,0,0,0,2,0
2,False,0,0,0,0,4,2,1,1,0,2,0,0,1,0,0,1,0
3,False,0,0,0,0,4,1,2,1,0,1,0,0,1,0,0,2,0
4,False,0,0,0,0,4,3,1,0,0,3,0,0,0,0,0,1,0
5,True,-1,2,1,2,1,1,1,2,1,0,0,1,1,0,0,0,1
6,False,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0
7,True,-2,-2,2,1,1,1,2,1,1,0,0,0,0,1,0,1,1
8,False,0,0,0,0,4,1,1,2,0,1,0,0,2,0,0,1,0
9,False,0,0,0,0,4,1,1,2,0,1,0,0,2,0,0,1,0
10,False,0,0,0,0,4,2,1,1,0,2,0,0,1,0,0,1,0
11,False,0,0,0,0,4,2,2,0,0,2,0,0,0,0,0,2,0
12,False,0,0,0,0,4,2,2,0,0,2,0,0,0,0,0,2,0
13,True,-1,0,1,1,2,1,2,1,1,0,0,0,1,0,0,1,1
14,True,-1,0,1,1,2,2,2,0,1,1,0,0,0,0,0,1,1
15,True,-1,2,1,2,1,2,2,0,2,0,0,0,0,0,0,1,1
16,False,0,0,0,0,4,2,1,1,0,2,0,0,1,0,0,1,0
17,False,0,0,0,0,4,1,1,2,0,1,0,0,2,0,0,1,0
18,True,-3,-2,1,1,2,2,2,0,0,2,0,0,0,0,1,0,1
19,True,-3,-1,1,1,2,1,2,1,1,0,0,0,0,1,0,2,0
20,False,0,0,0,0,4,1,1,2,0,1,0,0,2,0,0,1,0
21,False,0,0,0,0,4,1,1,2,0,1,0,0,2,0,0,1,0
22,False,0,0,0,0,4,2,2,0,0,2,0,0,0,0,0,2,0
23,True,-1,1,1,1,2,2,2,0,1,1,0,0,0,0,0,1,1
24,False,0,0,0,0,4,2,2,0,0,2,0,0,0,0,0,2,0
25,False,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0
26,False,0,0,0,0,4,1,2,1,0,1,0,0,1,0,0,2,0
27,True,-1,0,1,1,2,2,2,0,1,1,0,0,0,0,0,1,1
28,False,0,0,0,0,4,2,1,1,0,2,0,0,1,0,0,1,0
29,True,0,2,0,2,2,2,2,0,1,1,0,0,0,0,1,1,0
30,True,-2,-1,1,1,2,2,1,1,1,1,0,0,1,0,0,0,1
31,True,-1,-1,2,1,1,2,2,0,1,1,0,0,0,0,0,0,2
32,False,0,0,0,0,4,2,1,1,0,2,0,0,1,0,0,1,0
33,False,0,0,0,0,4,1,2,1,0,1,0,0,1,0,0,2,0
34,False,0,0,0,0,4,1,1,2,0,1,0,0,2,0,0,1,0
35,False,0,0,0,0,4,1,3,0,0,1,0,0,0,0,0,3,0
36,False,0,0,0,0,4,2,2,0,0,2,0,0,0,0,0,2,0
37,False,0,0,0,0,4,1,2,1,0,1,0,0,1,0,0,2,0
