id,is_changed,max_worse,util,num_worse,num_better,num_unchanged,rank_better,rank_worse,rank_unchanged,rank_better_match_better,rank_better_match_unchanged,rank_better_match_worse,rank_unchanged_match_better,rank_unchanged_match_unchanged,rank_unchanged_match_worse,rank_worse_match_better,rank_worse_match_unchanged,rank_worse_match_worse
0,True,-1,0,1,1,14,7,8,1,1,6,0,0,1,0,0,7,1
1,False,0,0,0,0,16,6,9,1,0,6,0,0,1,0,0,9,0
2,True,-3,6,1,3,12,8,8,0,1,7,0,0,0,0,2,5,1
3,True,-6,-6,2,1,13,8,7,1,1,7,0,0,1,0,0,5,2
4,True,-3,11,1,3,12,7,9,0,2,5,0,0,0,0,1,7,1
5,False,0,0,0,0,16,9,6,1,0,9,0,0,1,0,0,6,0
6,True,-8,-12,4,0,12,8,5,3,0,5,3,0,3,0,0,4,1
7,True,-5,7,1,3,12,9,7,0,2,7,0,0,0,0,1,5,1
8,False,0,0,0,0,16,5,8,3,0,5,0,0,3,0,0,8,0
9,True,-3,3,4,4,8,7,8,1,3,3,1,0,1,0,1,4,3
10,True,-7,-5,4,4,8,8,8,0,3,4,1,0,0,0,1,4,3
11,True,-2,5,1,3,12,7,8,1,2,5,0,0,1,0,1,6,1
12,False,0,0,0,0,16,6,8,2,0,6,0,0,2,0,0,8,0
13,True,-7,11,3,6,7,8,6,2,5,2,1,0,1,1,1,4,1
14,True,0,14,0,4,12,8,6,2,3,5,0,0,2,0,1,5,0
15,False,0,0,0,0,16,9,6,1,0,9,0,0,1,0,0,6,0
16,False,0,0,0,0,16,5,9,2,0,5,0,0,2,0,0,9,0
17,False,0,0,0,0,16,8,7,1,0,8,0,0,1,0,0,7,0
18,False,0,0,0,0,16,6,7,3,0,6,0,0,3,0,0,7,0
19,False,0,0,0,0,16,8,7,1,0,8,0,0,1,0,0,7,0
20,False,0,0,0,0,16,6,8,2,0,6,0,0,2,0,0,8,0
21,True,-1,19,1,4,11,7,6,3,2,5,0,1,2,0,1,4,1
22,True,-1,2,2,4,10,8,7,1,2,6,0,0,1,0,2,3,2
23,True,-6,5,2,5,9,6,10,0,2,4,0,0,0,0,3,5,2
24,False,0,0,0,0,16,9,6,1,0,9,0,0,1,0,0,6,0
25,False,0,0,0,0,16,5,10,1,0,5,0,0,1,0,0,10,0
26,True,-1,2,2,1,13,8,8,0,1,7,0,0,0,0,0,6,2
27,True,-4,-5,3,2,11,7,6,3,1,5,1,1,2,0,0,4,2
28,False,0,0,0,0,16,7,8,1,0,7,0,0,1,0,0,8,0
29,False,0,0,0,0,16,8,8,0,0,8,0,0,0,0,0,8,0
30,True,-4,-1,1,2,13,8,7,1,1,7,0,0,1,0,1,5,1
31,False,0,0,0,0,16,6,9,1,0,6,0,0,1,0,0,9,0
32,False,0,0,0,0,16,6,8,2,0,6,0,0,2,0,0,8,0
33,True,-2,4,3,2,11,7,9,0,1,5,1,0,0,0,1,6,2
34,True,-1,0,1,1,14,7,8,1,1,6,0,0,1,0,0,7,1
35,True,-2,4,1,5,10,8,7,1,4,4,0,1,0,0,0,6,1
36,False,0,0,0,0,16,9,6,1,0,9,0,0,1,0,0,6,0
37,True,-3,5,2,2,12,8,7,1,2,6,0,0,0,1,0,6,1
38,False,0,0,0,0,16,8,7,1,0,8,0,0,1,0,0,7,0
39,False,0,0,0,0,16,10,6,0,0,10,0,0,0,0,0,6,0
40,True,-6,-1,4,5,7,5,10,1,2,2,1,1,0,0,2,5,3
41,True,-5,-9,3,1,12,8,6,2,1,6,1,0,1,1,0,5,1
42,True,-3,16,1,4,11,9,6,1,2,7,0,1,0,0,1,4,1
43,True,0,7,0,4,12,9,6,1,3,6,0,0,1,0,1,5,0
44,True,0,2,0,2,14,6,10,0,1,5,0,0,0,0,1,9,0
45,True,-4,9,1,5,10,10,6,0,4,6,0,0,0,0,1,4,1
46,False,0,0,0,0,16,7,8,1,0,7,0,0,1,0,0,8,0
47,True,-5,-2,5,2,9,8,7,1,2,4,2,0,1,0,0,4,3
48,True,-2,-2,2,1,13,6,8,2,0,5,1,0,2,0,1,6,1
49,False,0,0,0,0,16,9,7,0,0,9,0,0,0,0,0,7,0
50,False,0,0,0,0,16,7,7,2,0,7,0,0,2,0,0,7,0
51,True,-4,-4,3,4,9,8,6,2,3,4,1,0,2,0,1,3,2
52,True,0,4,0,2,14,8,8,0,1,7,0,0,0,0,1,7,0
53,True,-10,0,3,5,8,6,9,1,2,3,1,1,0,0,2,5,2
54,False,0,0,0,0,16,8,7,1,0,8,0,0,1,0,0,7,0
55,False,0,0,0,0,16,7,6,3,0,7,0,0,3,0,0,6,0
56,False,0,0,0,0,16,8,7,1,0,8,0,0,1,0,0,7,0
57,False,0,0,0,0,16,7,8,1,0,7,0,0,1,0,0,8,0
58,True,-1,9,1,5,10,8,7,1,2,6,0,0,1,0,3,3,1
59,False,0,0,0,0,16,9,7,0,0,9,0,0,0,0,0,7,0
60,True,-7,6,4,6,6,6,9,1,2,3,1,0,0,1,4,3,2
