id,is_changed,max_worse,util,num_worse,num_better,num_unchanged,rank_better,rank_worse,rank_unchanged,rank_better_match_better,rank_better_match_unchanged,rank_better_match_worse,rank_unchanged_match_better,rank_unchanged_match_unchanged,rank_unchanged_match_worse,rank_worse_match_better,rank_worse_match_unchanged,rank_worse_match_worse
0,False,0,0,0,0,10,4,6,0,0,4,0,0,0,0,0,6,0
1,True,-1,1,1,2,7,6,4,0,1,5,0,0,0,0,1,2,1
2,False,0,0,0,0,10,5,5,0,0,5,0,0,0,0,0,5,0
3,False,0,0,0,0,10,3,6,1,0,3,0,0,1,0,0,6,0
4,False,0,0,0,0,10,3,4,3,0,3,0,0,3,0,0,4,0
5,True,-2,0,1,1,8,5,4,1,1,4,0,0,1,0,0,3,1
6,True,-4,1,3,1,6,5,5,0,1,3,1,0,0,0,0,3,2
7,False,0,0,0,0,10,4,5,1,0,4,0,0,1,0,0,5,0
8,False,0,0,0,0,10,5,5,0,0,5,0,0,0,0,0,5,0
9,False,0,0,0,0,10,4,3,3,0,4,0,0,3,0,0,3,0
10,True,-1,1,1,1,8,4,6,0,1,3,0,0,0,0,0,5,1
11,False,0,0,0,0,10,4,5,1,0,4,0,0,1,0,0,5,0
12,True,-4,-3,2,1,7,4,6,0,1,2,1,0,0,0,0,5,1
13,True,-6,-9,3,1,6,3,6,1,1,1,1,0,1,0,0,4,2
14,False,0,0,0,0,10,3,6,1,0,3,0,0,1,0,0,6,0
15,False,0,0,0,0,10,4,5,1,0,4,0,0,1,0,0,5,0
16,False,0,0,0,0,10,5,5,0,0,5,0,0,0,0,0,5,0
17,False,0,0,0,0,10,5,5,0,0,5,0,0,0,0,0,5,0
18,False,0,0,0,0,10,7,2,1,0,7,0,0,1,0,0,2,0
19,True,-1,5,1,3,6,4,4,2,2,2,0,0,2,0,1,2,1
20,True,-2,-4,3,1,6,4,4,2,1,2,1,0,2,0,0,2,2
21,True,-3,-1,2,1,7,5,3,2,1,3,1,0,1,1,0,3,0
22,False,0,0,0,0,10,5,5,0,0,5,0,0,0,0,0,5,0
23,True,-1,4,2,4,4,4,5,1,2,1,1,0,1,0,2,2,1
24,False,0,0,0,0,10,4,5,1,0,4,0,0,1,0,0,5,0
25,False,0,0,0,0,10,4,6,0,0,4,0,0,0,0,0,6,0
26,True,-3,2,1,2,7,4,4,2,2,1,1,0,2,0,0,4,0
27,True,-1,11,1,4,5,7,3,0,2,5,0,0,0,0,2,0,1
28,True,0,3,0,2,8,4,4,2,1,3,0,0,2,0,1,3,0
29,True,0,6,0,4,6,6,3,1,2,4,0,0,1,0,2,1,0
30,False,0,0,0,0,10,5,4,1,0,5,0,0,1,0,0,4,0
